2024-10-21 15:37:25.885 INFO  <ModalContext> [/Transformation 1.ktr]  Expedindo in�cio para transforma��o [/Transformation 1]
2024-10-21 15:37:25.952 INFO  </Transformation 1 - CSV file input> [/Transformation 1.ktr]  Header row skipped in file 'C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\riaa.csv'
2024-10-21 15:37:25.960 INFO  </Transformation 1 - CSV file input> [/Transformation 1.ktr]  Finished processing (I=31, O=0, R=0, W=30, U=0, E=0)
2024-10-21 15:37:25.992 INFO  </Transformation 1 - dummy> [/Transformation 1.ktr]  Finished processing (I=0, O=0, R=30, W=30, U=0, E=0)
2024-10-21 15:38:00.024 INFO  <Thread-25> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr]  Expedindo in�cio para transforma��o [Transformation 1]
2024-10-21 15:38:00.034 INFO  <Transformation 1 - CSV file input> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr]  Header row skipped in file 'C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\riaa.csv'
2024-10-21 15:38:00.036 INFO  <Transformation 1 - CSV file input> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr]  Finished processing (I=31, O=0, R=0, W=30, U=0, E=0)
2024-10-21 15:38:58.625 INFO  <Thread-32> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr]  Expedindo in�cio para transforma��o [Transformation 1]
2024-10-21 15:38:58.633 INFO  <Transformation 1 - CSV file input> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr]  Header row skipped in file 'C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\riaa.csv'
2024-10-21 15:38:58.635 INFO  <Transformation 1 - CSV file input> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr]  Finished processing (I=31, O=0, R=0, W=30, U=0, E=0)
2024-10-21 15:38:58.641 INFO  <Transformation 1 - Sort rows> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr]  Finished processing (I=0, O=0, R=30, W=30, U=0, E=0)
2024-10-21 15:41:48.270 INFO  <Thread-19> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr]  Expedindo in�cio para transforma��o [Transformation 1]
2024-10-21 15:42:01.226 INFO  <main> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr]  Expedindo in�cio para transforma��o [Transformation 1]
2024-10-21 15:42:39.783 INFO  <Thread-26> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr]  Expedindo in�cio para transforma��o [Transformation 1]
2024-10-21 15:42:45.579 INFO  <Thread-29> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr]  Expedindo in�cio para transforma��o [Transformation 1]
2024-10-21 15:42:57.096 INFO  <ModalContext> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1.ktr]  Expedindo in�cio para transforma��o [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1]
2024-10-21 15:42:57.139 INFO  <C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1 - CSV file input> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1.ktr]  Header row skipped in file 'C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\riaa.csv'
2024-10-21 15:42:57.148 INFO  <C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1 - CSV file input> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1.ktr]  Finished processing (I=31, O=0, R=0, W=30, U=0, E=0)
2024-10-21 15:42:57.181 INFO  <C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1 - dummy> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1.ktr]  Finished processing (I=0, O=0, R=30, W=30, U=0, E=0)
2024-10-21 15:44:58.029 INFO  <ModalContext> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1.ktr]  Expedindo in�cio para transforma��o [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1]
2024-10-21 15:44:58.126 INFO  <C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1 - CSV file input> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1.ktr]  Header row skipped in file 'C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\riaa.csv'
2024-10-21 15:44:58.139 INFO  <C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1 - CSV file input> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1.ktr]  Finished processing (I=31, O=0, R=0, W=30, U=0, E=0)
